mensagem,data do registro,hora do registro
relatorio pedido,17/12/2022,16:30:00
relatorio pedido,17/12/2022,16:33:23
relatorio pedido,17/12/2022,16:34:15
Aparelho ligado,17/12/2022,16:35:14
Aparelho ligado,17/12/2022,17:56:52
Aparelho ligado,17/12/2022,17:58:42
Aparelho ligado,17/12/2022,18:09:39
Aparelho ligado,17/12/2022,18:13:34
Aparelho ligado,17/12/2022,18:14:13
Aparelho ligado,17/12/2022,18:16:11
Aparelho ligado,17/12/2022,18:17:51
Aparelho ligado,17/12/2022,18:19:05
relatorio pedido,17/12/2022,18:19:16
Aparelho ligado,17/12/2022,23:45:45
Aparelho ligado,17/12/2022,23:47:49
Aparelho ligado,17/12/2022,23:49:00
Aparelho ligado,17/12/2022,23:51:58
Aparelho ligado,17/12/2022,23:53:23
Aparelho ligado,17/12/2022,23:57:54
Aparelho ligado,17/12/2022,23:58:51
Aparelho ligado,18/12/2022,00:00:12
Aparelho ligado,18/12/2022,00:06:36
Aparelho ligado,18/12/2022,00:08:48
relatorio pedido,18/12/2022,00:09:03
Aparelho ligado,18/12/2022,00:11:21
Aparelho ligado,18/12/2022,00:31:27
Aparelho ligado,18/12/2022,12:29:17
Aparelho ligado,18/12/2022,12:33:16
Aparelho ligado,18/12/2022,12:51:49
relatorio pedido,18/12/2022,12:52:02
relatorio pedido,18/12/2022,12:55:16
relatorio pedido,18/12/2022,12:57:25
Aparelho ligado,18/12/2022,12:57:46
relatorio pedido,18/12/2022,12:57:56
Aparelho ligado,18/12/2022,12:58:18
relatorio pedido,18/12/2022,12:58:24
Aparelho ligado,18/12/2022,13:21:03
relatorio pedido,18/12/2022,13:21:06
relatorio pedido,18/12/2022,14:17:37
relatorio pedido,18/12/2022,14:17:39
relatorio pedido,18/12/2022,14:17:41
Aparelho ligado,18/12/2022,14:19:28
relatorio pedido,18/12/2022,14:19:44
relatorio pedido,18/12/2022,14:22:52
relatorio pedido,18/12/2022,14:22:57
Aparelho ligado,18/12/2022,14:23:14
relatorio pedido,18/12/2022,14:28:21
relatorio pedido,18/12/2022,14:28:23
relatorio pedido,18/12/2022,14:28:25
Aparelho ligado,18/12/2022,14:28:30
relatorio pedido,18/12/2022,14:42:53
relatorio pedido,18/12/2022,14:42:56
Aparelho ligado,18/12/2022,14:43:01
Aparelho ligado,18/12/2022,14:46:16
Aparelho ligado,18/12/2022,14:50:55
relatorio pedido,18/12/2022,14:51:11
relatorio pedido,18/12/2022,14:53:04
Aparelho ligado,18/12/2022,14:53:13
Aparelho ligado,18/12/2022,14:55:08
relatorio pedido,18/12/2022,14:55:15
relatorio pedido,18/12/2022,14:55:32
Aparelho ligado,18/12/2022,14:55:38
relatorio pedido,18/12/2022,14:55:40
relatorio pedido,18/12/2022,14:56:58
relatorio pedido,18/12/2022,14:57:01
Aparelho ligado,18/12/2022,14:57:13
relatorio pedido,18/12/2022,14:57:21
relatorio pedido,18/12/2022,15:19:08
Aparelho ligado,18/12/2022,15:19:28
relatorio pedido,18/12/2022,15:19:30
relatorio pedido,18/12/2022,15:23:02
relatorio pedido,18/12/2022,15:23:21
Aparelho ligado,18/12/2022,15:23:27
relatorio pedido,18/12/2022,15:23:32
